Time, Alerting
105.0,2
106.0,2
107.0,2
108.0,2
109.0,2
110.0,2
111.0,2
112.0,2
113.0,2
114.0,2
115.0,2
116.0,2
117.0,2
118.0,2
119.0,2
120.0,2
121.0,2
122.0,2
123.0,2
124.0,2
125.0,2
126.0,2
127.0,2
128.0,2
129.0,2
130.0,2
131.0,2
132.0,2
133.0,2
134.0,2
135.0,3
136.0,3
137.0,3
138.0,3
139.0,3
140.0,3
141.0,3
142.0,3
143.0,3
144.0,3
145.0,3
146.0,3
147.0,3
148.0,3
149.0,3
150.0,3
151.0,3
152.0,3
153.0,3
154.0,3
155.0,3
156.0,3
157.0,3
158.0,3
159.0,3
160.0,3
161.0,3
162.0,3
163.0,3
164.0,3
165.0,3
166.0,3
167.0,3
168.0,3
169.0,3
170.0,3
171.0,3
172.0,3
173.0,3
174.0,3
175.0,3
176.0,3
177.0,3
178.0,3
179.0,3
180.0,3
181.0,3
182.0,3
183.0,3
184.0,3
185.0,3
186.0,3
187.0,3
188.0,3
189.0,3
190.0,3
191.0,3
192.0,3
193.0,3
194.0,3
195.0,3
196.0,3
197.0,3
198.0,3
199.0,3
200.0,3
201.0,3
202.0,3
203.0,3
204.0,3
